nom,organisation_nom,plateforme,repertoire_url,description,est_fork,est_archive,date_creation,derniere_mise_a_jour,page_accueil,nombre_stars,nombre_forks,licence,nombre_issues_ouvertes,langage,topics,software_heritage_exists,software_heritage_url
csw-client,geodatagouv,GitHub,https://github.com/geodatagouv/csw-client,A very simple CSW client,False,False,2014-04-23T19:54:41Z,2018-12-16T11:30:12Z,,11,2,MIT License,0,JavaScript,,True,https://archive.softwareheritage.org/browse/origin/https://github.com/geodatagouv/csw-client/directory/
wfs-client,geodatagouv,GitHub,https://github.com/geodatagouv/wfs-client,A very simple WFS client,False,False,2014-05-08T20:35:59Z,2019-07-11T00:52:56Z,,10,2,MIT License,2,JavaScript,,True,https://archive.softwareheritage.org/browse/origin/https://github.com/geodatagouv/wfs-client/directory/
geogw,geodatagouv,GitHub,https://github.com/geodatagouv/geogw,[DEPRECATED] See geoplatform,False,True,2014-05-22T19:53:16Z,2018-12-02T20:33:17Z,https://github.com/geodatagouv/geoplatform,7,2,GNU Affero General Public License v3.0,1,JavaScript,,True,https://archive.softwareheritage.org/browse/origin/https://github.com/geodatagouv/geogw/directory/
plunger,geodatagouv,GitHub,https://github.com/geodatagouv/plunger,Powerful link analyzer,False,False,2015-07-03T20:40:21Z,2019-07-11T01:51:05Z,,3,0,MIT License,14,JavaScript,"analysis,archives,atom,crawling,http,indexof,inspector,nodejs",True,https://archive.softwareheritage.org/browse/origin/https://github.com/geodatagouv/plunger/directory/
parsers,geodatagouv,GitHub,https://github.com/geodatagouv/parsers,✨Blazing fast XML parser to deal with Inspire and OGC standards ✨,False,False,2015-12-18T10:58:37Z,2018-03-28T09:46:44Z,,1,2,MIT License,1,JavaScript,,True,https://archive.softwareheritage.org/browse/origin/https://github.com/geodatagouv/parsers/directory/
link-analyzer,geodatagouv,GitHub,https://github.com/geodatagouv/link-analyzer,REPLACED by link-proxy,False,True,2016-07-16T15:39:50Z,2018-03-26T15:49:43Z,,0,0,MIT License,0,JavaScript,,False,
link-proxy,geodatagouv,GitHub,https://github.com/geodatagouv/link-proxy,Analyze links in your (geo)data catalogs,False,False,2018-03-22T11:04:00Z,2019-07-11T01:51:00Z,,5,0,,16,JavaScript,,True,https://archive.softwareheritage.org/browse/origin/https://github.com/geodatagouv/link-proxy/directory/
geoplatform,geodatagouv,GitHub,https://github.com/geodatagouv/geoplatform,Core API and processing tools for geo.data.gouv.fr,False,False,2018-03-27T14:18:50Z,2019-07-11T03:01:15Z,,4,0,MIT License,13,JavaScript,,True,https://archive.softwareheritage.org/browse/origin/https://github.com/geodatagouv/geoplatform/directory/
docker,geodatagouv,GitHub,https://github.com/geodatagouv/docker,Docker environments for geodatagouv apps,False,False,2018-11-06T12:53:03Z,2019-01-28T13:11:22Z,https://hub.docker.com/u/geodatagouv/,0,0,,0,,,True,https://archive.softwareheritage.org/browse/origin/https://github.com/geodatagouv/docker/directory/
docker-node-gdal,geodatagouv,GitHub,https://github.com/geodatagouv/docker-node-gdal,Docker build of node with gdal on buster-slim,False,False,2019-01-23T08:53:14Z,2019-04-22T16:02:18Z,,1,0,,0,Dockerfile,,False,
transcoder,geodatagouv,GitHub,https://github.com/geodatagouv/transcoder,Geo data transcoder for geoplatform,False,False,2019-02-07T10:58:40Z,2019-07-11T02:32:23Z,,1,0,MIT License,6,JavaScript,,True,https://archive.softwareheritage.org/browse/origin/https://github.com/geodatagouv/transcoder/directory/
